raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
26.40 ,13.20 ,8.82 ,18.30 ,58.80 ,6.61 ,17.00 ,414.00 ,17.00 ,44.90 ,40.00 
35.90 ,16.50 ,12.30 ,16.80 ,8.13 ,18.60 ,32.50 ,352.00 ,3.37 ,16.50 ,61.50 
59.40 ,44.10 ,14.60 ,10.20 ,13.00 ,14.90 ,32.50 ,403.00 ,11.40 ,31.90 ,19.50 
73.00 ,82.80 ,23.10 ,13.50 ,1.29 ,5.83 ,11.80 ,528.00 ,13.70 ,28.60 ,23.10 
33.70 ,19.80 ,5.19 ,9.73 ,24.80 ,21.10 ,46.10 ,305.00 ,4.66 ,25.70 ,81.30 
18.80 ,3.75 ,17.60 ,22.10 ,10.90 ,11.90 ,25.70 ,610.00 ,13.70 ,49.10 ,57.80 
44.90 ,36.50 ,10.40 ,132.00 ,16.30 ,8.66 ,17.90 ,835.00 ,15.00 ,35.90 ,18.10 
47.40 ,15.00 ,14.60 ,30.50 ,17.50 ,20.20 ,45.30 ,466.00 ,6.44 ,24.40 ,20.00 
104.00 ,61.50 ,10.60 ,21.10 ,41.80 ,11.50 ,23.50 ,445.00 ,29.20 ,61.00 ,25.30 
21.10 ,21.50 ,1.88 ,205.00 ,43.70 ,13.20 ,135.00 ,213.00 ,14.60 ,26.70 ,101.00 
16.40 ,16.40 ,14.50 ,17.00 ,11.20 ,21.90 ,34.60 ,449.00 ,20.40 ,44.90 ,24.10 
74.30 ,22.90 ,7.50 ,15.50 ,26.20 ,20.90 ,36.50 ,389.00 ,31.90 ,71.00 ,35.50 
85.10 ,39.60 ,8.90 ,64.90 ,11.70 ,6.67 ,12.20 ,528.00 ,17.90 ,44.10 ,118.00 
36.80 ,29.20 ,5.00 ,9.06 ,15.50 ,17.90 ,17.90 ,400.00 ,14.60 ,41.40 ,151.00 
29.20 ,24.10 ,10.20 ,16.00 ,46.60 ,8.82 ,7.23 ,500.00 ,9.73 ,19.10 ,7.91 
50.00 ,13.80 ,11.90 ,13.20 ,11.30 ,18.10 ,27.90 ,392.00 ,56.20 ,77.00 ,1.00 
26.20 ,26.70 ,21.30 ,10.90 ,14.70 ,9.06 ,37.90 ,89.00 ,40.00 ,65.50 ,1.42 
39.60 ,38.20 ,10.50 ,92.20 ,22.70 ,27.60 ,31.30 ,223.00 ,16.50 ,30.80 ,7.64 
30.50 ,19.80 ,7.50 ,133.00 ,15.70 ,19.10 ,36.20 ,319.00 ,24.10 ,37.20 ,17.20 
49.10 ,16.50 ,13.30 ,141.00 ,25.70 ,31.10 ,62.10 ,710.00 ,14.20 ,27.40 ,22.10 
38.50 ,8.90 ,11.30 ,85.80 ,17.90 ,12.10 ,35.90 ,843.00 ,12.00 ,28.40 ,20.90 
31.60 ,17.80 ,14.50 ,10.60 ,4.91 ,10.20 ,23.90 ,276.00 ,13.80 ,28.40 ,12.70 
41.00 ,27.90 ,1.00 ,137.00 ,23.90 ,30.20 ,50.00 ,965.00 ,1.00 ,84.30 ,4.61 
70.40 ,54.20 ,15.40 ,24.40 ,12.90 ,9.91 ,27.90 ,449.00 ,35.90 ,93.90 ,48.30 
70.40 ,42.20 ,17.60 ,20.90 ,10.50 ,59.40 ,98.20 ,1981.00 ,35.90 ,46.10 ,17.80 
21.50 ,1.00 ,8.28 ,181.00 ,43.70 ,18.80 ,38.50 ,644.00 ,13.60 ,29.20 ,7.04 
39.20 ,23.10 ,18.60 ,22.10 ,10.60 ,17.80 ,32.20 ,466.00 ,10.50 ,23.30 ,6.98 
69.80 ,20.40 ,19.80 ,18.40 ,6.26 ,10.40 ,25.00 ,500.00 ,22.70 ,48.30 ,59.40 
34.90 ,22.30 ,17.20 ,50.00 ,23.10 ,34.30 ,51.40 ,308.00 ,13.20 ,38.90 ,196.00 
