raf,mek,plc,pip2,erk,akt,pka,pkc,p38,jnk,Class
26.4,13.2,8.82,18.3,6.61,17,414,17,44.9,40,1
35.9,16.5,12.3,16.8,18.6,32.5,352,3.37,16.5,61.5,0
59.4,44.1,14.6,10.2,14.9,32.5,403,11.4,31.9,19.5,0
73,82.8,23.1,13.5,5.83,11.8,528,13.7,28.6,23.1,0
33.7,19.8,5.19,9.73,21.1,46.1,305,4.66,25.7,81.3,1
18.8,3.75,17.6,22.1,11.9,25.7,610,13.7,49.1,57.8,0
44.9,36.5,10.4,132,8.66,17.9,835,15,35.9,18.1,0
47.4,15,14.6,30.5,20.2,45.3,466,6.44,24.4,20,0
104,61.5,10.6,21.1,11.5,23.5,445,29.2,61,25.3,1
21.1,21.5,1.88,205,13.2,135,213,14.6,26.7,101,1
16.4,16.4,14.5,17,21.9,34.6,449,20.4,44.9,24.1,0
74.3,22.9,7.5,15.5,20.9,36.5,389,31.9,71,35.5,1
85.1,39.6,8.9,64.9,6.67,12.2,528,17.9,44.1,118,0
36.8,29.2,5,9.06,17.9,17.9,400,14.6,41.4,151,0
29.2,24.1,10.2,16,8.82,7.23,500,9.73,19.1,7.91,1
50,13.8,11.9,13.2,18.1,27.9,392,56.2,77,1,0
26.2,26.7,21.3,10.9,9.06,37.9,89,40,65.5,1.42,0
39.6,38.2,10.5,92.2,27.6,31.3,223,16.5,30.8,7.64,1
30.5,19.8,7.5,133,19.1,36.2,319,24.1,37.2,17.2,0
49.1,16.5,13.3,141,31.1,62.1,710,14.2,27.4,22.1,1
38.5,8.9,11.3,85.8,12.1,35.9,843,12,28.4,20.9,1
31.6,17.8,14.5,10.6,10.2,23.9,276,13.8,28.4,12.7,0
41,27.9,1,137,30.2,50,965,1,84.3,4.61,1
70.4,54.2,15.4,24.4,9.91,27.9,449,35.9,93.9,48.3,0
70.4,42.2,17.6,20.9,59.4,98.2,1981,35.9,46.1,17.8,0
21.5,1,8.28,181,18.8,38.5,644,13.6,29.2,7.04,1
39.2,23.1,18.6,22.1,17.8,32.2,466,10.5,23.3,6.98,0
69.8,20.4,19.8,18.4,10.4,25,500,22.7,48.3,59.4,0
34.9,22.3,17.2,50,34.3,51.4,308,13.2,38.9,196,1
40.7,24.8,13,62.6,5.14,14.7,673,28.1,41.8,23.1,1
45.7,15.7,13.2,21.3,23.9,49.1,1382,19.5,38.5,20.9,0
43.7,29.2,14.5,17.6,8.58,12.5,621,34,67.9,28.1,0
79.9,80.6,4.41,209,10.5,35.5,422,26.9,40.3,15.3,1
56.7,17.3,21.7,18.1,9.22,22.9,552,38.5,59.9,17.9,0
58.8,19.5,2.57,41.4,19.1,33.7,325,22.9,31.9,20.7,0
53.8,12.7,10.9,12.4,20.2,37.9,403,22.5,38.5,20.9,1
58.3,23.1,18.9,79.1,36.2,48.7,429,14.7,28.9,12.6,1
160,28.1,7.1,115,4.96,12.4,1241,2.46,31.3,83.5,0
45.3,9.39,12.2,53.8,4.29,27.6,599,38.2,80.6,139,1
54.7,28.4,8.35,9.39,38.5,59.9,898,12.7,23.7,13.5,1
85.1,26.9,25.3,47.8,13.6,14.2,396,4.74,8.98,43.3,1
109,43.7,9.47,343,27.1,42.6,319,14.9,37.9,17.8,1
25.7,15.3,1,120,2.69,18.9,10.2,4.96,40.3,221,1
50.5,28.1,27.6,28.9,14.7,24.8,382,15.3,20,7.7,0
69.2,17.8,17.8,62.1,2.71,13.3,562,4.45,20,105,1
62.6,19.3,8.51,20.9,4.49,24.8,474,23.5,48.7,22.5,1
67.9,43.7,11.4,19.3,17.8,38.5,1433,31.9,66.7,40,0
75,57.8,4.91,15.4,21.9,36.2,233,21.3,46.1,17,1
50.9,42.2,7.57,122,6.26,36.2,1027,12.5,32.8,108,1
79.9,20.4,24.1,22.5,8.82,24.1,466,19.1,34.9,6.15,1
62.6,21.7,21.9,22.1,39.2,75.7,1310,8.74,22.7,11.7,0
50.9,25.3,6.38,76.4,9.06,15.4,673,4.66,26.9,173,0
75,30.5,13.6,51.4,25.3,35.5,466,20.4,43.7,10.1,1
59.4,25.3,11.7,20.7,3.62,12.4,29.7,17.2,32.5,10.5,1
181,37.9,1,292,6.38,13.1,573,20.9,38.2,17.6,1
69.8,33.1,12.7,67.3,4.07,27.1,973,85.8,121,32.5,0
57.3,19.1,11.1,42.2,5.83,13.5,547,44.9,80.6,71.7,0
82.8,30.5,13.9,18.6,23.5,37.5,418,6.55,16.7,95.6,0
35.5,24.6,15.7,35.5,21.9,45.7,322,6.79,23.3,11.9,0
80.6,27.9,17.9,42.6,2.84,20.7,188,20.7,33.1,17.5,0
113,45.7,10.8,154,13.1,21.5,337,5.47,20,9.39,1
8.9,10.1,10.3,89,181,355,1731,24.1,42.2,20.7,1
35.2,14.1,7.1,20.2,12.9,22.5,583,37.5,47.4,9.47,1
24.1,12.3,12.7,62.6,9.14,16.5,547,25.7,59.9,80.6,1
164,33.1,5.78,28.6,16.3,24.1,319,22.5,35.5,12.4,0
57.8,27.1,15.5,57.3,25.9,34.6,382,3.05,27.1,78.4,1
90.6,27.4,40,97.3,10.9,18.9,429,4.45,42.9,80.6,1
38.5,12.7,4.37,22.7,4.22,10.8,578,1.86,7.37,3.43,1
51.4,36.8,12.7,40.3,12.7,25.9,667,2.5,14.9,64.9,1
26.9,15.1,18.6,20.5,20.4,38.5,437,11.7,24.4,15.4,0
56.2,21.1,12.7,21.1,14.1,19.8,474,25.9,39.6,75.7,1
70.4,35.5,18.4,45.7,18.8,31.6,418,10,22.3,6.67,1
58.8,35.2,12.2,16.5,18.4,33.7,362,16.3,19.8,10.4,1
69.2,35.5,17.3,50,8.51,18.6,151,12,31.1,27.6,1
69.8,47,25.5,276,32.8,51.4,799,19.6,47.8,16.4,1
105,59.9,20,19.6,6.85,23.1,1065,1.67,48.3,4.66,0
62.1,51.9,13.6,30.2,14.3,37.9,692,6.49,25,91.4,0
75,33.4,1,31.6,19.8,27.6,505,18.6,31.1,7.64,0
20.4,15.1,7.99,101,9.14,22.9,400,11.7,22.7,6.85,1
47.8,19.6,17.5,33.1,17.9,35.2,956,22.5,43.3,20,1
59.9,53.3,11.8,77.7,11.1,37.9,1407,18.8,29.4,16.8,0
46.6,27.1,12.4,109,21.5,38.2,207,11,31.3,12,1
51.9,21.3,49.1,58.8,58.8,200,3051,15.3,39.2,15.7,0
31.9,23.9,15.1,12.7,6.73,15,562,1,68.5,8.2,0
93.9,27.4,67.3,138,28.1,46.1,906,2.69,6.98,71,1
64.9,23.3,15.3,12.6,19.6,35.2,806,2.37,20,7.91,0
153,123,12,34.6,8.58,26.2,470,1,12,9.91,1
16.7,12.4,7.04,235,44.9,64.9,1843,23.5,36.2,30.5,1
71.7,25.5,13.1,12,12.2,31.3,655,7.7,16.4,49.1,1
35.5,23.7,2.89,4.26,13,22.7,470,7.77,33.4,16.3,0
83.5,61.5,13,34.6,3.46,19.5,239,2.53,2.69,6.1,0
31.9,8.82,12.9,154,16.8,16,433,9.56,48.7,54.2,1
29.4,20.2,7.7,125,89,150,799,2.71,15.4,49.1,1
302,325,17.6,25.7,29.2,38.2,313,10.8,36.5,17.2,0
40.3,16.5,11.5,505,19.3,29.7,483,2.92,15.3,89,1
