raf,mek,plc,pip2,pip3,erk,akt,pka,p38,jnk,Class
26.4,13.2,8.82,18.3,58.8,6.61,17,414,44.9,40,1
35.9,16.5,12.3,16.8,8.13,18.6,32.5,352,16.5,61.5,0
59.4,44.1,14.6,10.2,13,14.9,32.5,403,31.9,19.5,0
73,82.8,23.1,13.5,1.29,5.83,11.8,528,28.6,23.1,1
33.7,19.8,5.19,9.73,24.8,21.1,46.1,305,25.7,81.3,0
18.8,3.75,17.6,22.1,10.9,11.9,25.7,610,49.1,57.8,1
44.9,36.5,10.4,132,16.3,8.66,17.9,835,35.9,18.1,1
47.4,15,14.6,30.5,17.5,20.2,45.3,466,24.4,20,0
104,61.5,10.6,21.1,41.8,11.5,23.5,445,61,25.3,1
21.1,21.5,1.88,205,43.7,13.2,135,213,26.7,101,1
16.4,16.4,14.5,17,11.2,21.9,34.6,449,44.9,24.1,1
74.3,22.9,7.5,15.5,26.2,20.9,36.5,389,71,35.5,1
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528,44.1,118,1
36.8,29.2,5,9.06,15.5,17.9,17.9,400,41.4,151,1
29.2,24.1,10.2,16,46.6,8.82,7.23,500,19.1,7.91,0
50,13.8,11.9,13.2,11.3,18.1,27.9,392,77,1,1
26.2,26.7,21.3,10.9,14.7,9.06,37.9,89,65.5,1.42,1
39.6,38.2,10.5,92.2,22.7,27.6,31.3,223,30.8,7.64,1
30.5,19.8,7.5,133,15.7,19.1,36.2,319,37.2,17.2,1
49.1,16.5,13.3,141,25.7,31.1,62.1,710,27.4,22.1,1
38.5,8.9,11.3,85.8,17.9,12.1,35.9,843,28.4,20.9,0
31.6,17.8,14.5,10.6,4.91,10.2,23.9,276,28.4,12.7,1
41,27.9,1,137,23.9,30.2,50,965,84.3,4.61,0
70.4,54.2,15.4,24.4,12.9,9.91,27.9,449,93.9,48.3,1
70.4,42.2,17.6,20.9,10.5,59.4,98.2,1981,46.1,17.8,1
21.5,1,8.28,181,43.7,18.8,38.5,644,29.2,7.04,1
39.2,23.1,18.6,22.1,10.6,17.8,32.2,466,23.3,6.98,0
69.8,20.4,19.8,18.4,6.26,10.4,25,500,48.3,59.4,1
34.9,22.3,17.2,50,23.1,34.3,51.4,308,38.9,196,1
40.7,24.8,13,62.6,38.2,5.14,14.7,673,41.8,23.1,1
45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382,38.5,20.9,1
43.7,29.2,14.5,17.6,13.1,8.58,12.5,621,67.9,28.1,1
79.9,80.6,4.41,209,19.5,10.5,35.5,422,40.3,15.3,1
56.7,17.3,21.7,18.1,12.7,9.22,22.9,552,59.9,17.9,1
58.8,19.5,2.57,41.4,2.21,19.1,33.7,325,31.9,20.7,1
53.8,12.7,10.9,12.4,30.8,20.2,37.9,403,38.5,20.9,1
58.3,23.1,18.9,79.1,24.4,36.2,48.7,429,28.9,12.6,1
160,28.1,7.1,115,16.1,4.96,12.4,1241,31.3,83.5,0
45.3,9.39,12.2,53.8,27.6,4.29,27.6,599,80.6,139,1
54.7,28.4,8.35,9.39,20.7,38.5,59.9,898,23.7,13.5,0
85.1,26.9,25.3,47.8,22.9,13.6,14.2,396,8.98,43.3,0
109,43.7,9.47,343,60.4,27.1,42.6,319,37.9,17.8,1
25.7,15.3,1,120,23.7,2.69,18.9,10.2,40.3,221,0
50.5,28.1,27.6,28.9,13.8,14.7,24.8,382,20,7.7,1
69.2,17.8,17.8,62.1,23.1,2.71,13.3,562,20,105,0
62.6,19.3,8.51,20.9,39.2,4.49,24.8,474,48.7,22.5,1
67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433,66.7,40,1
75,57.8,4.91,15.4,24.6,21.9,36.2,233,46.1,17,1
50.9,42.2,7.57,122,48.3,6.26,36.2,1027,32.8,108,0
79.9,20.4,24.1,22.5,20,8.82,24.1,466,34.9,6.15,1
62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310,22.7,11.7,0
50.9,25.3,6.38,76.4,17.2,9.06,15.4,673,26.9,173,0
75,30.5,13.6,51.4,42.2,25.3,35.5,466,43.7,10.1,1
59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,32.5,10.5,1
181,37.9,1,292,49.6,6.38,13.1,573,38.2,17.6,1
69.8,33.1,12.7,67.3,1.91,4.07,27.1,973,121,32.5,1
57.3,19.1,11.1,42.2,6.61,5.83,13.5,547,80.6,71.7,1
82.8,30.5,13.9,18.6,6.92,23.5,37.5,418,16.7,95.6,0
35.5,24.6,15.7,35.5,11.9,21.9,45.7,322,23.3,11.9,0
80.6,27.9,17.9,42.6,17.3,2.84,20.7,188,33.1,17.5,1
113,45.7,10.8,154,58.3,13.1,21.5,337,20,9.39,0
8.9,10.1,10.3,89,29.4,181,355,1731,42.2,20.7,1
35.2,14.1,7.1,20.2,32.2,12.9,22.5,583,47.4,9.47,1
24.1,12.3,12.7,62.6,26.7,9.14,16.5,547,59.9,80.6,1
164,33.1,5.78,28.6,13.7,16.3,24.1,319,35.5,12.4,1
57.8,27.1,15.5,57.3,19.5,25.9,34.6,382,27.1,78.4,0
90.6,27.4,40,97.3,71,10.9,18.9,429,42.9,80.6,0
38.5,12.7,4.37,22.7,23.7,4.22,10.8,578,7.37,3.43,0
51.4,36.8,12.7,40.3,21.7,12.7,25.9,667,14.9,64.9,0
26.9,15.1,18.6,20.5,8.43,20.4,38.5,437,24.4,15.4,0
56.2,21.1,12.7,21.1,57.8,14.1,19.8,474,39.6,75.7,1
70.4,35.5,18.4,45.7,47.8,18.8,31.6,418,22.3,6.67,0
58.8,35.2,12.2,16.5,24.1,18.4,33.7,362,19.8,10.4,1
69.2,35.5,17.3,50,19.8,8.51,18.6,151,31.1,27.6,0
69.8,47,25.5,276,77,32.8,51.4,799,47.8,16.4,1
105,59.9,20,19.6,15.1,6.85,23.1,1065,48.3,4.66,0
62.1,51.9,13.6,30.2,10.6,14.3,37.9,692,25,91.4,0
75,33.4,1,31.6,1,19.8,27.6,505,31.1,7.64,1
20.4,15.1,7.99,101,35.9,9.14,22.9,400,22.7,6.85,0
47.8,19.6,17.5,33.1,82,17.9,35.2,956,43.3,20,1
59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407,29.4,16.8,1
46.6,27.1,12.4,109,21.9,21.5,38.2,207,31.3,12,0
51.9,21.3,49.1,58.8,10.8,58.8,200,3051,39.2,15.7,1
31.9,23.9,15.1,12.7,4.61,6.73,15,562,68.5,8.2,0
93.9,27.4,67.3,138,30.8,28.1,46.1,906,6.98,71,0
64.9,23.3,15.3,12.6,9.06,19.6,35.2,806,20,7.91,0
153,123,12,34.6,63.8,8.58,26.2,470,12,9.91,0
16.7,12.4,7.04,235,34.9,44.9,64.9,1843,36.2,30.5,1
71.7,25.5,13.1,12,43.3,12.2,31.3,655,16.4,49.1,0
35.5,23.7,2.89,4.26,12.9,13,22.7,470,33.4,16.3,0
83.5,61.5,13,34.6,12.3,3.46,19.5,239,2.69,6.1,0
31.9,8.82,12.9,154,56.7,16.8,16,433,48.7,54.2,0
29.4,20.2,7.7,125,27.4,89,150,799,15.4,49.1,0
302,325,17.6,25.7,10.7,29.2,38.2,313,36.5,17.2,0
40.3,16.5,11.5,505,67.3,19.3,29.7,483,15.3,89,0
29.2,15.4,9.73,23.1,71,6.38,47,557,24.6,7.7,1
46.1,25.7,12.7,24.4,37.2,16.8,35.9,375,39.2,95.6,0
52.3,21.5,27.1,155,67.9,7.23,23.9,820,25,93.1,0
48.7,36.5,18.6,10.6,13.9,6.1,25.9,1009,22.7,15.3,0
85.8,82,120,325,79.1,6.61,10.9,723,21.9,5.42,0
75.7,25.9,21.5,64.4,45.3,8.28,28.4,583,36.8,13.7,1
58.3,21.9,14.9,18.4,30.2,5.47,17.2,982,21.5,15.5,1
58.8,34.9,13.3,82.8,38.2,22.5,27.9,379,18.4,48.7,0
112,27.6,28.4,67.9,30.5,10.8,16.7,403,29.7,7.77,1
